"EFN","Phy","matched_name"
1,"Bignonia sciuripabula","Bignonia sciuripabula"
1,"Bignonia uleana","Bignonia uleana"
1,"Bixa orellana","Bixa orellana"
1,"Blastania fimbristipula","Blastania fimbristipula"
1,"Blumeodendron calophyllum","Blumeodendron calophyllum"
1,"Bombacopsis glabra","Bombacopsis glabra"
1,"Bombacopsis quinata","Bombacopsis quinata"
1,"Bombax ellipticum","Bombax ellipticum"
1,"Bombax longifolia","Bombax l."
1,"Bombax marginatum","Bombax marginatum"
1,"Bombax martianum","Bombax martianum"
1,"Brachystephanus sp.","Brachystephanus nees"
1,"Brasiliocroton  mamoninha","Brasiliocroton mamoninha"
1,"Brasiliopuntia brasiliensis","Brasiliopuntia brasiliensis"
1,"Brassavola nodosa","Brassavola nodosa"
1,"Brassavola sp.","Brassavola sp."
1,"Brassica juncea","Brassica juncea"
1,"Bromheadia sp.","Bromheadia sp."
1,"Broughtonia sanguinea","Broughtonia sanguinea"
1,"Brownea grandiceps","Brownea grandiceps"
1,"Brownea macrophylla","Brownea macrophylla"
1,"Brownea sp.","Brownea jacq."
1,"Brucea spp.","Brucea j."
